epoch,train_loss,train_error,valid_loss,valid_error,test_error
270,0.127396,0.019140,0.26686,0.06820,
271,0.128460,0.019220,0.26680,0.06830,
272,0.128123,0.019280,0.26722,0.06820,
273,0.130349,0.020500,0.26744,0.06860,
274,0.128586,0.019400,0.26723,0.06840,
275,0.130732,0.019320,0.26609,0.06800,
276,0.125632,0.018600,0.26659,0.06890,
277,0.129383,0.019240,0.26625,0.06830,
278,0.129356,0.019160,0.26711,0.06810,
279,0.125471,0.018060,0.26659,0.06900,
280,0.126246,0.019080,0.26607,0.06810,
281,0.126547,0.019100,0.26638,0.06830,
282,0.125272,0.017960,0.26795,0.06860,
